P7-O6,C1-H10
3.0743663765234075,2.0634686695096343
3.0714381258054715,2.0671577254174944
3.0343727204454805,1.8686964019365357
3.2103308586764476,1.9453946542700742
3.005830987401078,2.1402690538979567
3.0793986747938016,1.83661306995074
3.032994665585583,2.094243202262867
3.042329100663635,2.1704095736538047
3.1465728168367275,2.0813602960428876
3.076723093027158,2.0705824922746388
2.988435798604004,2.1327123271182913
3.0361947354539036,2.258992940194129
3.0695030938431396,2.124480007435063
3.0165718854753423,1.9843142733534456
3.1000413910063433,2.050052726374775
3.0778933842014937,2.0026225085895106
3.0757849191875075,2.1426105840073633
3.0384697763180877,1.9889622762681587
3.0224491146411996,1.9715442083846244
3.07331721591374,2.0470895082548606
3.0952811864349408,2.0966705624762847
3.076793842421714,2.0550072295008706
3.158468442164368,2.246164284557406
3.1078930110556566,2.168989013441249
3.0266595056274235,2.087495614570842
3.0983758218450848,1.949389106496762
3.152877105774533,2.030610481086497
3.034447647159024,1.9858339034298471
3.0845012600439703,2.197879457032988
3.0675662612455614,2.0904396581495583
3.093798294969564,1.9280110976990736
3.0148290473029107,2.070308946575451
3.104687171192569,2.0448552975210523
3.2173075945572815,2.007039591585368
3.034866158730345,2.1603856281817437
3.1564802861771737,2.273199091380945
3.034813191865169,2.0427948826354356
3.092849397732869,1.9490511316089087
3.161144627748588,1.8198827152053683
3.0302295620099,2.1574073180428255
2.9962340663537455,1.988607649744316
3.1012395042199756,2.188908522592076
3.1320850323202807,2.1099206704279747
3.2317486091015803,2.2083833609944805
3.0447454465110355,2.098689841881111
3.067758109167582,2.037550570684039
3.2244591856443243,2.181076453931404
3.1051163866871394,2.2573823896044622
3.1365778411776737,2.211183240774139
3.052924087714429,2.163325401658183
3.0275621169172364,1.8985321061481133
3.0652396526446117,2.1608422196508617
3.070585788347043,1.9214387223794323
3.0560166803558224,2.284386142488738
3.035571032890414,2.116217730602009
3.088326009656826,2.0503575311700524
3.123945192149891,2.0876117046391336
3.090119138964882,2.000054361783776
3.1444215421536144,2.3605880330156945
2.9712009805088475,2.0569814386924903
3.097959956545151,2.1747712373605586
2.9954905771551097,2.1471101935591963
3.074975125896424,1.9809559228881333
3.1063906776471715,1.8720089797894814
3.1035886341961305,1.8728693274357329
3.042356481671208,2.1387581907788284
3.084489792982837,2.397199288629022
2.982648375592718,2.2061745949631275
3.1684304771668512,2.037235974476155
3.0653138225595895,2.0573529637717916
3.0162611304386946,2.1245239384002987
3.15736907445302,2.0455080770920873
3.0840204658425217,2.0807232646571756
3.1409082671356154,2.175419782517185
2.992434604847511,1.979384010114951
2.9650722668628355,1.8119833488574277
3.0397071209677824,2.228130433974085
3.0640239301396233,1.946976285287675
3.0447831337305606,1.951046638573967
3.207175092586364,2.1589294520331315
3.116908498051326,2.285859243921763
3.135951337469331,2.2518369995449063
3.080255297367672,2.2737719724592784
3.0592406989515877,1.9991342867564847
3.0491708571825407,2.101755259852955
3.033710533619879,2.1646394030598186
3.1035951295322577,2.015883064379743
3.0955791598501707,2.0883102175031008
3.10892229110646,1.9385401885255154
3.1010893940958546,2.1669719989749026
3.0814305866590375,1.952929069218311
3.041776406463943,2.005994553537627
3.0648795402029587,2.2914234126390367
3.098060912429061,2.138964546154971
2.956334175462157,2.107200661801498
3.062831069619528,2.118426650660073
2.959629429932639,2.205585429862395
3.0162657981916046,2.070939189189162
3.114540464596897,2.231344119888456
3.077818850746943,2.1474628503169813
3.177057850042349,2.117846840328473
